Incident Date,State,# Killed,# Injured,,
15-Jul-16,Florida,1,0,,
16-Jul-16,Ohio,1,0,,
17-Jul-16,Louisiana,2,0,,
17-Jul-16,Pennsylvania,1,0,,
17-Jul-16,South Carolina,2,0,,
18-Jul-16,South Carolina,1,0,,
20-Jul-16,Georgia,1,0,,
23-Jul-16,Texas,4,1,,
26-Jul-16,Utah,2,0,,
26-Jul-16,Texas,1,0,,
27-Jul-16,Florida,2,1,,
27-Jul-16,Virginia,2,0,,
29-Jul-16,Texas,2,0,,
31-Jul-16,Louisiana,2,0,,
31-Jul-16,Alabama,1,0,,
31-Jul-16,Texas,1,0,,
2-Aug-16,Louisiana,1,0,,
3-Aug-16,Maryland,1,0,,
6-Aug-16,California,2,0,,
6-Aug-16,Idaho,1,0,,
6-Aug-16,Pennsylvania,5,0,,
8-Aug-16,Tennessee,1,0,,
8-Aug-16,New Jersey,3,0,,
13-Aug-16,Missouri,2,1,,
13-Aug-16,Virginia,1,0,,
14-Aug-16,Florida,2,0,,
14-Aug-16,Louisiana,3,0,,
14-Aug-16,Iowa,1,0,,
15-Aug-16,Mississippi,1,0,,
18-Aug-16,Montana,1,0,,
24-Aug-16,New Jersey,1,0,,
25-Aug-16,Tennessee,1,0,,
28-Aug-16,New Mexico,3,0,,
28-Aug-16,Florida,1,1,,
1-Sep-16,South Carolina,1,2,,
10-Sep-16,Texas,3,0,,
11-Sep-16,Kentucky,1,0,,
12-Sep-16,Pennsylvania,1,0,,
15-Sep-16,Texas,2,0,,
18-Sep-16,Florida,1,0,,
18-Sep-16,Florida,1,0,,
25-Sep-16,California,1,0,,
25-Sep-16,Alabama,1,0,,
28-Sep-16,Arizona,1,0,,
28-Sep-16,South Carolina,2,2,,
30-Sep-16,Minnesota,3,1,,
30-Sep-16,Wisconsin,1,0,,
1-Oct-16,Georgia,1,0,,
1-Oct-16,South Carolina,4,0,,
5-Oct-16,Georgia,1,0,,
5-Oct-16,Oregon,3,0,,
9-Oct-16,Arkansas,1,2,,
9-Oct-16,North Carolina,2,0,,
9-Oct-16,Minnesota,2,0,,
13-Oct-16,Illinois,1,0,,
13-Oct-16,California,3,0,,
16-Oct-16,Texas,1,0,,
16-Oct-16,Arizona,3,0,,
19-Oct-16,Ohio,1,0,,
20-Oct-16,Florida,3,0,,
20-Oct-16,California,1,0,,
22-Oct-16,Georgia,2,0,,
25-Oct-16,Ohio,1,3,,
27-Oct-16,Missouri,1,0,,
27-Oct-16,North Carolina,2,1,,
29-Oct-16,Ohio,1,0,,
3-Nov-16,New Jersey,2,1,,
4-Nov-16,Kansas,1,0,,
5-Nov-16,Texas,1,0,,
5-Nov-16,Indiana,1,0,,
5-Nov-16,Missouri,3,0,,
6-Nov-16,Texas,2,0,,
10-Nov-16,Texas,4,0,,
12-Nov-16,Colorado,1,0,,
13-Nov-16,Colorado,1,0,,
13-Nov-16,Florida,3,2,,
13-Nov-16,Michigan,1,0,,
14-Nov-16,Texas,1,2,,
15-Nov-16,Oklahoma,2,0,,
17-Nov-16,Virginia,4,0,,
18-Nov-16,Georgia,3,0,,
19-Nov-16,Pennsylvania,3,0,,
22-Nov-16,Arkansas,1,0,,
23-Nov-16,West Virginia,1,0,,
25-Nov-16,Alaska,4,0,,
